katamajemuk,label,is_kata_dasar,kata_dasar_1,kata_dasar_2
mata sangkur,1,0,mata,sangkur
mata susu,1,0,mata,susu
mata tajak,1,0,mata,tajak
mata tembilang,1,0,mata,tembilang
mata tombak,1,0,mata,tombak
mata tong,1,0,mata,tong
mata uang,1,0,mata,uang
moncong senapan,1,0,moncong,senapan
mulut bedil,1,0,mulut,bedil
mulut meriam,1,0,mulut,meriam
mulut sungai,1,0,mulut,sungai
pantat ceret,1,0,pantat,ceret
pantal periuk,1,0,pantal,periuk
perut bumi,1,0,perut,bumi
perut daun,1,0,perut,daun
perut kapal,1,0,perut,kapal
perut padi,1,0,perut,padi
suku bangsa,1,0,suku,bangsa
suku bunga,1,0,suku,bunga
suku emas,1,0,suku,emas
suku jam,1,0,suku,jam
suku kata,1,0,suku,kata
suku tahun,1,0,suku,tahun
tajuk rencana,1,0,tajuk,rencana
tajuk surat,1,0,tajuk,surat
tangan baju,1,0,tangan,baju
alih bahasa,1,0,alih,bahasa
alih teknologi,1,0,alih,teknologi
bagi hasil,1,0,bagi,hasil
balap sepeda,1,0,balap,sepeda
balik nama,1,0,balik,nama
basuh lantai,1,0,basuh,lantai
bela diri,1,0,bela,diri
belah batang,1,0,belah,batang
belah betung,1,0,belah,betung
belah buluh,1,0,belah,buluh
belah bumbung,1,0,belah,bumbung
belah dada,1,0,belah,dada
belah ketupat,1,0,belah,ketupat
belah lemang,1,0,belah,lemang
belah mulut,1,0,belah,mulut
bina wicara,1,0,bina,wicara
cacah jiwa,1,0,cacah,jiwa
cuci otak,1,0,cuci,otak
dengar pendapat,1,0,dengar,pendapat
ganti rugi,1,0,ganti,rugi
gorang kacang,1,0,gorang,kacang
goreng pisang,1,0,goreng,pisang
gugur gunung,1,0,gugur,gunung
ikat belanda,1,0,ikat,belanda
ikat dagang luar,1,0,ikat,dagang
ikat emas,1,0,ikat,emas
ikat perang,1,0,ikat,perang
ikat permata,1,0,ikat,permata
ikat pinggang,1,0,ikat,pinggang
kawal gunung,1,0,kawal,gunung
kekang diri,1,0,kekang,diri
lempar cakram,1,0,lempar,cakram
lempar lembing,1,0,lempar,lembing
lomba mengarang,1,0,lomba,mengarang
lomba kebersihan,1,0,lomba,kebersihan
lomba kekayaan ,1,0,lomba,kekayaan
lomba lari,1,0,lomba,lari
lomba layar,1,0,lomba,layar
lontar martil,1,0,lontar,martil
panggang ayam,1,0,panggang,ayam
rancang bangun,1,0,rancang,bangun
reka bentuk,1,0,reka,bentuk
reka cipta,1,0,reka,cipta
sepak bola,1,0,sepak,bola
sepak raga,1,0,sepak,raga
sepak takraw,1,0,sepak,takraw
tata bahasa,1,0,tata,bahasa
tata bentuk,1,0,tata,bentuk
tata buku,1,0,tata,buku
tata cara,1,0,tata,cara
tata hukum,1,0,tata,hukum
tata kalimat,1,0,tata,kalimat
tata kata,1,0,tata,kata
tata laksana,1,0,tata,laksana
tata nama,1,0,tata,nama
tata negara,1,0,tata,negara
tata niaga,1,0,tata,niaga
tata praja,1,0,tata,praja
tata ruang,1,0,tata,ruang
tata surya,1,0,tata,surya
tata tertib,1,0,tata,tertib
tata usaha,1,0,tata,usaha
temu muka,1,0,temu,muka
titi nada,1,1,titi,nada
tolak bala,1,0,tolak,bala
tolak bara,1,0,tolak,bara
tolak peluru,1,0,tolak,peluru
tolak senjata,1,0,tolak,senjata
tolak sumpah,1,0,tolak,sumpah
tumpah darah,1,0,tumpah,darah
uji kadar,1,0,uji,kadar
ulang tahun,1,0,ulang,tahun
unjuk perasaan,1,0,unjuk,perasaan
alat gesek,1,0,alat,gesek
alat tiup,1,0,alat,tiup
anak angkat,1,0,anak,angkat
anak asuh,1,0,anak,asuh
anak buangan,1,0,anak,buangan
anak dapat,1,0,anak,dapat
anak didik,1,0,anak,didik
anak pungut,1,0,anak,pungut
ayah angkat,1,0,ayah,angkat
ayam goreng,1,0,ayam,goreng
ayam panggang,1,0,ayam,panggang
babi guling,1,0,babi,guling
bapak angkat,1,0,bapak,angkat
bulu tangkis,1,0,bulu,tangkis
hutan lindung,1,0,hutan,lindung
ibu angkat,1,0,ibu,angkat
kacang goreng,1,0,kacang,goreng
kambing guling,1,0,kambing,guling
karya tulis,1,0,karya,tulis
kentang goreng,1,0,kentang,goreng
kopi tubruk,1,0,kopi,tubruk
nara pidana,1,1,nara,pidana
nasi bungkus,1,0,nasi,bungkus
nasi dandang,1,0,nasi,dandang
nasi uduk,1,0,nasi,uduk
nasi goreng,1,0,nasi,goreng
nasi kepal,1,0,nasi,kepal
nasi kukus,1,0,nasi,kukus
nasi lecek,1,0,nasi,lecek
nasi lemang,1,0,nasi,lemang
nasi meroyan,1,0,nasi,meroyan
nasi ransum,1,0,nasi,ransum
nasi tambah,1,0,nasi,tambah
nasi tanak,1,0,nasi,tanak
nasi tim,1,0,nasi,tim
orang tua angkat,1,0,orang,tua
param kocok,1,0,param,kocok
peluru kendali,1,0,peluru,kendali
pisang goreng,1,0,pisang,goreng
rambut jalin,1,0,rambut,jalin
roti bakar,1,0,roti,bakar
sambal ulek,1,0,sambal,ulek
senjata genggam,1,0,senjata,genggam
tangga lipat,1,0,tangga,lipat
tangga pilin,1,0,tangga,pilin
tikar jalin,1,0,tikar,jalin
umpan balik,1,0,umpan,balik
hormat senjata,1,0,hormat,senjata
lombat tali,1,0,lombat,tali
loncat galah,1,0,loncat,galah
mandi uap,1,0,mandi,uap
terjun payung,1,0,terjun,payung
tusuk jarum,1,0,tusuk,jarum
cetak biru,1,0,cetak,biru
cetak lepas,1,0,cetak,lepas
cetak ulang,1,0,cetak,ulang
gerak lurus,1,0,gerak,lurus
gerak putar,1,0,gerak,putar
hukum gantung,1,0,hukum,gantung
hukum pecat,1,0,hukum,pecat
hukum penggal,1,0,hukum,penggal
hukum tembak,1,0,hukum,tembak
kerja bakti,1,0,kerja,bakti
kerja lembur,1,0,kerja,lembur
kerja paksa,1,0,kerja,paksa
kerja sama,1,0,kerja,sama
layang gantung,1,0,layang,gantung
lompat jauh,1,0,lompat,jauh
loncat indah,1,0,loncat,indah
tanam paksa,1,0,tanam,paksa
tukar tambah,1,0,tukar,tambah
uji coba,1,0,uji,coba
uji petik,1,0,uji,petik
sumpah jabatan,1,0,sumpah,jabatan
sumpah setia,1,0,sumpah,setia
temu karya,1,0,temu,karya
temu wicara,1,0,temu,wicara
tindak balas,1,0,tindak,balas
tindak lanjut,1,0,tindak,lanjut
turun istirahat,1,0,turun,istirahat
turun main,1,0,turun,main
turun mandi,1,0,turun,mandi
turun minum,1,0,turun,minum
abu gosok,1,0,abu,gosok
alat cacah,1,0,alat,cacah
alat ukur,1,0,alat,ukur
ayam aduan,1,0,ayam,aduan
ayam daging,1,0,ayam,daging
ayam petelur,1,0,ayam,petelur
ayam sabung,1,0,ayam,sabung
ayam telur,1,0,ayam,telur
batu loncatan,1,0,batu,loncatan
bengkel kerja,1,0,bengkel,kerja
daya beli,1,0,daya,beli
daya cipta,1,0,daya,cipta
daya dorong,1,0,daya,dorong
daya gerak,1,0,daya,gerak
daya guna,1,0,daya,guna
daya hidup,1,0,daya,hidup
daya juang,1,0,daya,juang
daya penarik,1,0,daya,penarik
daya pikir,1,0,daya,pikir
daya serap,1,0,daya,serap
daya tahan,1,0,daya,tahan
daya tanggap,1,0,daya,tanggap
daya tangkap,1,0,daya,tangkap
daya tarik,1,0,daya,tarik
doa tobat,1,0,doa,tobat
duit kopi,1,0,duit,kopi
gambar tempel,1,0,gambar,tempel
gedung juang,1,0,gedung,juang
hak jawab,1,0,hak,jawab
hak pakai,1,0,hak,pakai
hak pilih,1,0,hak,pilih
hak tolak,1,0,hak,tolak
jam bicara,1,0,jam,bicara
jalan masuk,1,0,jalan,masuk
jalan pintas,1,0,jalan,pintas
jalan tembus,1,0,jalan,tembus
jalan kirim,1,0,jalan,kirim
kamar kerja,1,0,kamar,kerja
kapal keruk,1,0,kapal,keruk
kapal perang,1,0,kapal,perang
kapal pesiar,1,0,kapal,pesiar
kapal selam,1,0,kapal,selam
kapur tulis,1,0,kapur,tulis
kawan bicara,1,0,kawan,bicara
kilang minyak,1,0,kilang,minyak
kuda beban,1,0,kuda,beban
kuda pacu,1,0,kuda,pacu
kuda tunggang,1,0,kuda,tunggang
kursi goyang,1,0,kursi,goyang
kursi malas,1,0,kursi,malas
langkah kerja,1,0,langkah,kerja
mercu suar,1,1,mercu,suar
minyak gorang,1,0,minyak,gorang
nasi angkatan,1,0,nasi,angkatan
nasi damai,1,0,nasi,damai
nasi hadap-hadapan,1,0,nasi,hadap-hadapan
obat bius,1,0,obat,bius
obat kuat,1,0,obat,kuat
obat penawar,1,0,obat,penawar
obat penenang,1,0,obat,penenang
obat tidur,1,0,obat,tidur
parit kuras,1,0,parit,kuras
peran serta,1,0,peran,serta
pesawat tempur,1,0,pesawat,tempur
pintu angin,1,0,pintu,angin
pipa kuras,1,0,pipa,kuras
pita suara,1,0,pita,suara
pompa angin,1,0,pompa,angin
rapat kerja,1,0,rapat,kerja
ruang kerja,1,0,ruang,kerja
ruang bedah,1,0,ruang,bedah
rumah gadai,1,0,rumah,gadai
rumah makan,1,0,rumah,makan
rumah sakit,1,0,rumah,sakit
sanggar kerja,1,0,sanggar,kerja
surat jalan,1,0,surat,jalan
surat tugas,1,0,surat,tugas
tanah tumpah darah,1,0,tanah,tumpah
tanda baca,1,0,tanda,baca
tanda bagi,1,0,tanda,bagi
tanda hubung,1,0,tanda,hubung
tanda kurung,1,0,tanda,kurung
tanda seru,1,0,tanda,seru
tanda tambah,1,0,tanda,tambah
tanda tanya,1,0,tanda,tanya
tangga nada,1,0,tangga,nada
tenggang tangguh,1,0,tenggang,tangguh
titik didih,1,0,titik,didih
titik luluh,1,0,titik,luluh
titik tolak,1,0,titik,tolak
uang bandar,1,0,uang,bandar
uang belanja,1,0,uang,belanja
uang duduk,1,0,uang,duduk
uang jaga,1,0,uang,jaga
uang jajan,1,0,uang,jajan
uang jalan,1,0,uang,jalan
uang jasa,1,0,uang,jasa
uang kancing,1,0,uang,kancing
uang kopi,1,0,uang,kopi
uang kunci,1,0,uang,kunci
uang lauk pauk,1,0,uang,lauk
uang lembur,1,0,uang,lembur
uang makan,1,0,uang,makan
uang meja,1,0,uang,meja
uang pelicin,1,0,uang,pelicin
uang pokok,1,0,uang,pokok
uang rokok,1,0,uang,rokok
uang sekolah,1,0,uang,sekolah
uang sembah,1,0,uang,sembah
uang semir,1,0,uang,semir
uang sidang,1,0,uang,sidang
uang sirih,1,0,uang,sirih
uang sogok,1,0,uang,sogok
uang teh,1,0,uang,teh
uang terjun,1,0,uang,terjun
uang tinta,1,0,uang,tinta
uang tolak,1,0,uang,tolak
warung senggol,1,0,warung,senggol
jalur kirim,1,0,jalur,kirim
abang kandung,1,0,abang,kandung
anak kandung,1,0,anak,kandung
api unggun,1,0,api,unggun
buah bibir,1,0,buah,bibir
buah cakap,1,0,buah,cakap
buah kalam,1,0,buah,kalam
buah kesenian,1,0,buah,kesenian
buah mimpi,1,0,buah,mimpi
buah mulut,1,0,buah,mulut
buah pembicaraan,1,0,buah,pembicaraan
buah pena,1,0,buah,pena
buah percakapan,1,0,buah,percakapan
buah pikiran,1,0,buah,pikiran
buah tangan,1,0,buah,tangan
buah tutur,1,0,buah,tutur
daya batin,1,0,daya,batin
daya kuda,1,0,daya,kuda
hak cipta,1,0,hak,cipta
hak milik,1,0,hak,milik
ibu kandung,1,0,ibu,kandung
kabar angin,1,0,kabar,angin
kakak kandung,1,0,kakak,kandung
luka bakar,1,0,luka,bakar
luka tikam,1,0,luka,tikam
marak damar,1,0,marak,damar
marak intan,1,0,marak,intan
marak kaca,1,0,marak,kaca
marak logam,1,0,marak,logam
musik gesek,1,0,musik,gesek
saudara kandung,1,0,saudara,kandung
bajak laut,1,0,bajak,laut
gerak jalan,1,0,gerak,jalan
kapal laut,1,0,kapal,laut
kapal udara,1,0,kapal,udara
lari gawang,1,0,lari,gawang
uang muka,1,0,uang,muka
uang pangkal,1,0,uang,pangkal
angin sakal,1,0,angin,sakal
bintang kitar,1,0,bintang,kitar
bulan kitar,1,0,bulan,kitar
bunga rampai,1,0,bunga,rampai
darah iring,1,0,darah,iring
garis bujur,1,0,garis,bujur
garis hubung,1,0,garis,hubung
garis lintang,1,0,garis,lintang
garis singgung,1,0,garis,singgung
kampanye lisan,1,0,kampanye,lisan
minyak rampai,1,0,minyak,rampai
roda kitar,1,0,roda,kitar
ubi jalar,1,0,ubi,jalar
ubi rambut,1,0,ubi,rambut
ban angin,1,0,ban,angin
kapal layar,1,0,kapal,layar
kapal meriam,1,0,kapal,meriam
kereta angin,1,0,kereta,angin
kereta api,1,0,kereta,api
mesin uap,1,0,mesin,uap
nasi beriani,1,0,nasi,beriani
nasi lemak,1,0,nasi,lemak
nasi minyak,1,0,nasi,minyak
nasi rawon,1,0,nasi,rawon
nasi telur,1,0,nasi,telur
nasi ulam,1,0,nasi,ulam
rem angin,1,0,rem,angin
sumpah pocong,1,0,sumpah,pocong
sumpah quran,1,0,sumpah,quran
sumpah uji api,1,0,sumpah,uji
tangga senigai,1,0,tangga,senigai
tuan kebun,1,0,tuan,kebun
tuan tanah,1,0,tuan,tanah
kuasa usaha,1,0,kuasa,usaha
nara sumber,1,1,nara,sumber
salah anggaran,1,0,salah,anggaran
salah asuhan,1,0,salah,asuhan
salah cetak,1,0,salah,cetak
salah ejaan,1,0,salah,ejaan
salah penerimaan,1,0,salah,penerimaan
salah perasaan,1,0,salah,perasaan
setia kawan,1,0,setia,kawan
tertib acara,1,0,tertib,acara
tertib ejaan,1,0,tertib,ejaan
tertib hukum,1,0,tertib,hukum
tertib nikah,1,0,tertib,nikah
wajib bela diri,1,0,wajib,bela
wajib belajar,1,0,wajib,belajar
wajib latih,1,0,wajib,latih
wajib militer,1,0,wajib,militer
wajib pajak,1,0,wajib,pajak
wajib sarjana,1,0,wajib,sarjana
wajib uji,1,0,wajib,uji
obat angin,1,0,obat,angin
obat batuk,1,0,obat,batuk
obat cacing,1,0,obat,cacing
obat demam,1,0,obat,demam
obat kurap,1,0,obat,kurap
obat lali,1,0,obat,lali
obat nyamuk,1,0,obat,nyamuk
obat pening,1,0,obat,pening
obat penyakit perut,1,0,obat,penyakit
obat rindu,1,0,obat,rindu
bulan madu,1,0,bulan,madu
bulan puasa,1,0,bulan,puasa
hari jadi,1,0,hari,jadi
hari ulang tahun,1,0,hari,ulang
musim buah,1,0,musim,buah
musim bunga,1,0,musim,bunga
musim dingin,1,0,musim,dingin
musim gugur,1,0,musim,gugur
musim hujan,1,0,musim,hujan
musim kemarau,1,0,musim,kemarau
musim kering,1,0,musim,kering
musim panas,1,0,musim,panas
doa malam,1,0,doa,malam
doa pagi,1,0,doa,pagi
kuliah sore,1,0,kuliah,sore
kuliah subuh,1,0,kuliah,subuh
sembahyang magrib,1,0,sembahyang,magrib
sembahyang subuh,1,0,sembahyang,subuh
utang budi,1,0,utang,budi
utang emas,1,0,utang,emas
utang kepala,1,0,utang,kepala
utang nyawa,1,0,utang,nyawa
jago balap,1,0,jago,balap
jago gelut,1,0,jago,gelut
jago kepruk,1,0,jago,kepruk
jago lari,1,0,jago,lari
jago tembak,1,0,jago,tembak
jago tinju,1,0,jago,tinju
juru anggar,1,0,juru,anggar
juru api,1,0,juru,api
juru bahasa,1,0,juru,bahasa
juru batu,1,0,juru,batu
juru bayar,1,0,juru,bayar
juru bendungan,1,0,juru,bendungan
juru berita,1,0,juru,berita
juru bicara,1,0,juru,bicara
juru buku,1,0,juru,buku
juru cacar,1,0,juru,cacar
juru dapur,1,0,juru,dapur
juru gambar,1,0,juru,gambar
juru gudang,1,0,juru,gudang
juru jana,1,0,juru,jana
juru kamera,1,0,juru,kamera
juru kelat,1,0,juru,kelat
juru kerah,1,0,juru,kerah
juru khitan,1,0,juru,khitan
juru kunci,1,0,juru,kunci
juru layar,1,0,juru,layar
juru lelang,1,0,juru,lelang
juru masak,1,0,juru,masak
juru meriam,1,0,juru,meriam
juru minyak,1,0,juru,minyak
juru mitar,1,0,juru,mitar
juru motor,1,0,juru,motor
juru muat,1,0,juru,muat
juru mudi,1,0,juru,mudi
juru obat,1,0,juru,obat
juru parkir,1,0,juru,parkir
juru peledak,1,0,juru,peledak
juru perbekalan,1,0,juru,perbekalan
juru peta,1,0,juru,peta
juru rawat,1,0,juru,rawat
juru rias,1,0,juru,rias
juru runding,1,0,juru,runding
juru selam,1,0,juru,selam
juru sita,1,0,juru,sita
juru sumpit,1,0,juru,sumpit
juru tafsir,1,0,juru,tafsir
juru tagih,1,0,juru,tagih
juru tambak,1,0,juru,tambak
juru tanah,1,0,juru,tanah
juru tera,1,0,juru,tera
juru terbang,1,0,juru,terbang
juru tik,1,0,juru,tik
juru tinggi,1,0,juru,tinggi
juru topografi,1,0,juru,topografi
juru tulis,1,0,juru,tulis
juru tunjuk,1,0,juru,tunjuk
juru ulas,1,0,juru,ulas
pandai besi,1,0,pandai,besi
pandai canai,1,0,pandai,canai
pandai emas,1,0,pandai,emas
pandai kayu,1,0,pandai,kayu
pandai lukis,1,0,pandai,lukis
pandai obat,1,0,pandai,obat
tukang abu gosok,1,0,tukang,abu
tukang air,1,0,tukang,air
tukang akuarium,1,0,tukang,akuarium
tukang arloji,1,0,tukang,arloji
tukang baso,1,0,tukang,baso
tukang batu,1,0,tukang,batu
tukang becak,1,0,tukang,becak
tukang besi,1,0,tukang,besi
tukang bodor,1,0,tukang,bodor
tukang bohong,1,0,tukang,bohong
tukang bonceng,1,0,tukang,bonceng
tukang buah,1,0,tukang,buah
tukang bubur ayam,1,0,tukang,bubur
tukang canai,1,0,tukang,canai
tukang cap,1,0,tukang,cap
tukang catut,1,0,tukang,catut
tukang cetak,1,0,tukang,cetak
tukang cicip,1,0,tukang,cicip
tukang copet,1,0,tukang,copet
tukang cukur,1,0,tukang,cukur
tukang daging,1,0,tukang,daging
tukang dendam,1,0,tukang,dendam
tukang derek,1,0,tukang,derek
tukang derji,1,0,tukang,derji
tukang dongkel,1,0,tukang,dongkel
tukang emas,1,0,tukang,emas
tukang es,1,0,tukang,es
tukang fitnah,1,0,tukang,fitnah
tukang gado-gado,1,0,tukang,gado-gado
tukang gangsir,1,0,tukang,gangsir
tukang gedor,1,0,tukang,gedor
tukang gerobak,1,0,tukang,gerobak
tukang gigi,1,0,tukang,gigi
tukang godot,1,0,tukang,godot
tukang gosok,1,0,tukang,gosok
tukang gudeg,1,0,tukang,gudeg
tukang gunting,1,0,tukang,gunting
tukang hasut,1,0,tukang,hasut
tukang ijon,1,0,tukang,ijon
tukang ikan,1,0,tukang,ikan
tukang jahit,1,0,tukang,jahit
tukang jilat,1,0,tukang,jilat
tukang jual,1,0,tukang,jual
tukang judi,1,0,tukang,judi
tukang kaleng,1,0,tukang,kaleng
tukang kapur,1,0,tukang,kapur
tukang kasut,1,0,tukang,kasut
tukang kayu,1,0,tukang,kayu
tukang kebut,1,0,tukang,kebut
tukang kembang,1,0,tukang,kembang
tukang keplok,1,0,tukang,keplok
tukang kepruk,1,0,tukang,kepruk
tukang kereta,1,0,tukang,kereta
tukang kotak,1,0,tukang,kotak
tukang kredit,1,0,tukang,kredit
tukang kritik,1,0,tukang,kritik
tukang kuda,1,0,tukang,kuda
tukang kue,1,0,tukang,kue
tukang kukus nasi,1,0,tukang,kukus
tukang kulkas,1,0,tukang,kulkas
tukang kundai,1,0,tukang,kundai
tukang lampu,1,0,tukang,lampu
tukang las,1,0,tukang,las
tukang ledeng,1,0,tukang,ledeng
tukang listrik,1,0,tukang,listrik
tukang loak,1,0,tukang,loak
tukang lumas,1,0,tukang,lumas
tukang mabok,1,0,tukang,mabok
tukang main piano,1,0,tukang,main
tukang makan,1,0,tukang,makan
tukang marah,1,0,tukang,marah
tukang masak,1,0,tukang,masak
tukang minum,1,0,tukang,minum
tukang minyak,1,0,tukang,minyak
tukang nebeng,1,0,tukang,nebeng
tukang ngamen,1,0,tukang,ngamen
tukang ngomel,1,0,tukang,ngomel
tukang nguping,1,0,tukang,nguping
tukang nunut,1,0,tukang,nunut
tukang nyanyi,1,0,tukang,nyanyi
tukang obat,1,0,tukang,obat
tukang pacak,1,0,tukang,pacak
tukang pajak,1,0,tukang,pajak
tukang patri,1,0,tukang,patri
tukang patung,1,0,tukang,patung
tukang pedati,1,0,tukang,pedati
tukang pelat,1,0,tukang,pelat
tukang peras,1,0,tukang,peras
tukang perkosa,1,0,tukang,perkosa
tukang pos,1,0,tukang,pos
tukang potong,1,0,tukang,potong
tukang potret,1,0,tukang,potret
tukang pukul,1,0,tukang,pukul
tukang pungut,1,0,tukang,pungut
tukang rias,1,0,tukang,rias
tukang rokok,1,0,tukang,rokok
tukang roti,1,0,tukang,roti
tukang royal,1,0,tukang,royal
tukang rumah,1,0,tukang,rumah
tukang rumput,1,0,tukang,rumput
tukang sabit,1,0,tukang,sabit
tukang samak,1,0,tukang,samak
tukang sambar,1,0,tukang,sambar
tukang sapu,1,0,tukang,sapu
tukang sate,1,0,tukang,sate
tukang sayur,1,0,tukang,sayur
tukang senjata,1,0,tukang,senjata
tukang sepatu,1,0,tukang,sepatu
tukang sihir,1,0,tukang,sihir
tukang sol sepatu,1,0,tukang,sol
tukang sulap,1,0,tukang,sulap
tukang sundut,1,0,tukang,sundut
tukang suruh,1,0,tukang,suruh
tukang tadah,1,0,tukang,tadah
tukang tagih,1,0,tukang,tagih
tukang tambal,1,0,tukang,tambal
tukang tanah,1,0,tukang,tanah
tukang telepon,1,0,tukang,telepon
tukang teluh,1,0,tukang,teluh
tukang tembaga,1,0,tukang,tembaga
tukang tenung,1,0,tukang,tenung
tukang terompah,1,0,tukang,terompah
tukang tidur,1,0,tukang,tidur
tukang tik,1,0,tukang,tik
tukang todong,1,0,tukang,todong
tukang ukur,1,0,tukang,ukur
tukang ular,1,0,tukang,ular
tukang warung,1,0,tukang,warung
utas perigi,1,0,utas,perigi
cepat lidah,1,0,cepat,lidah
cepat mulut,1,0,cepat,mulut
cepat tangan,1,0,cepat,tangan
cukup umur,1,0,cukup,umur
dalu warsa,1,0,dalu,warsa
dapat hati,1,0,dapat,hati
datang bulan,1,0,datang,bulan
datang hati,1,0,datang,hati
dingin hati,1,0,dingin,hati
dingin kepala,1,0,dingin,kepala
dingin tangan,1,0,dingin,tangan
dua hati,1,0,dua,hati
enak badan,1,0,enak,badan
enteng jodoh,1,0,enteng,jodoh
enteng rejeki,1,0,enteng,rejeki
gatal mulut,1,0,gatal,mulut
gatal tangan,1,0,gatal,tangan
gegar otak,1,0,gegar,otak
gelap hati,1,0,gelap,hati
gelap mata,1,0,gelap,mata
